,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casualPrice,registeredPrice,totalPrice
54,55,2011-02-24,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,35,243,278
55,56,2011-02-25,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,55,99,154
56,57,2011-02-26,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,50,123,173
57,58,2011-02-27,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,65,144,209
58,59,2011-02-28,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,40,159,199
59,60,2011-03-01,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,55,198,253
60,61,2011-03-02,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,70,174,244
61,62,2011-03-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,45,201,246
62,63,2011-03-04,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,55,438,493
63,64,2011-03-05,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,45,444,489
64,65,2011-03-06,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,40,306,346
65,66,2011-03-07,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,15,147,162
66,67,2011-03-08,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,15,147,162
67,68,2011-03-09,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,0,60,60
68,69,2011-03-10,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,5,33,38
69,70,2011-03-11,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,0,15,15
70,71,2011-03-12,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,0,6,6
71,72,2011-03-13,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,0,3,3
72,73,2011-03-14,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,0,6,6
73,74,2011-03-15,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,0,12,12
74,75,2011-03-16,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,0,108,108
75,76,2011-03-17,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,10,276,286
76,77,2011-03-18,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,10,531,541
77,78,2011-03-19,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,10,294,304
78,79,2011-03-20,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,25,111,136
79,80,2011-03-21,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,35,150,185
80,81,2011-03-22,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,60,198,258
81,82,2011-03-23,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,90,237,327
82,83,2011-03-24,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,45,162,207
83,84,2011-03-25,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,85,144,229
84,85,2011-03-26,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,75,204,279
85,86,2011-03-27,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,50,606,656
86,87,2011-03-28,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,15,537,552
87,88,2011-03-29,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,10,330,340
88,89,2011-03-30,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,5,159,164
89,90,2011-03-31,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,0,144,144
90,91,2011-04-01,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,5,102,107
91,92,2011-04-02,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,10,27,37
92,93,2011-04-03,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,0,18,18
93,94,2011-04-04,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,0,18,18
94,95,2011-04-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,0,6,6
95,96,2011-04-06,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,0,6,6
96,97,2011-04-07,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,0,9,9
97,98,2011-04-08,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,0,99,99
98,99,2011-04-09,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,5,261,266
99,100,2011-04-10,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,15,576,591
100,101,2011-04-11,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,30,327,357
101,102,2011-04-12,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,20,159,179
102,103,2011-04-13,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,60,102,162
103,104,2011-04-14,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,25,222,247
104,105,2011-04-15,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,30,195,225
105,106,2011-04-16,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,50,156,206
106,107,2011-04-17,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,35,165,200
107,108,2011-04-18,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,20,255,275
108,109,2011-04-19,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,20,558,578
109,110,2011-04-20,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,15,498,513
110,111,2011-04-21,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,25,381,406
111,112,2011-04-22,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,35,246,281
112,113,2011-04-23,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,15,120,135
113,114,2011-04-24,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,5,123,128
114,115,2011-04-25,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,5,54,59
115,116,2011-04-26,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,0,33,33
116,117,2011-04-27,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,0,12,12
117,118,2011-04-28,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,0,6,6
118,119,2011-04-29,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,0,3,3
119,120,2011-04-30,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,0,12,12
120,121,2011-05-01,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,0,108,108
121,122,2011-05-02,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,0,285,285
122,123,2011-05-03,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,15,648,663
123,124,2011-05-04,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,30,348,378
124,125,2011-05-05,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,15,126,141
125,126,2011-05-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,10,171,181
126,127,2011-05-07,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,30,234,264
127,128,2011-05-08,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,60,165,225
128,129,2011-05-09,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,55,177,232
129,130,2011-05-10,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,40,162,202
130,131,2011-05-11,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,60,222,282
131,132,2011-05-12,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,45,489,534
132,133,2011-05-13,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,25,474,499
133,134,2011-05-14,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,15,327,342
134,135,2011-05-15,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,15,198,213
135,136,2011-05-16,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,0,144,144
136,137,2011-05-17,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,5,153,158
137,138,2011-05-18,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,20,57,77
138,139,2011-05-19,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,20,39,59
139,140,2011-05-20,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,10,15,25
140,141,2011-05-21,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,0,3,3
141,142,2011-05-22,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,0,3,3
142,143,2011-05-23,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,0,15,15
143,144,2011-05-24,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,40,78,118
144,145,2011-05-25,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,40,228,268
145,146,2011-05-26,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,100,570,670
146,147,2011-05-27,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,45,375,420
147,148,2011-05-28,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,80,141,221
148,149,2011-05-29,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,95,144,239
149,150,2011-05-30,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,45,150,195
150,151,2011-05-31,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,45,192,237
151,152,2011-06-01,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,35,129,164
152,153,2011-06-02,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,45,189,234
153,154,2011-06-03,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,25,246,271
154,155,2011-06-04,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,45,534,579
155,156,2011-06-05,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,35,348,383
156,157,2011-06-06,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,15,276,291
157,158,2011-06-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,5,150,155
158,159,2011-06-08,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,0,117,117
159,160,2011-06-09,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,10,102,112
160,161,2011-06-10,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,5,42,47
161,162,2011-06-11,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,5,72,77
162,163,2011-06-12,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,5,45,50
163,164,2011-06-13,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,15,39,54
164,165,2011-06-14,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,0,21,21
165,166,2011-06-15,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,0,3,3
166,167,2011-06-16,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,0,15,15
167,168,2011-06-17,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,0,6,6
168,169,2011-06-18,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,5,24,29
169,170,2011-06-19,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,0,45,45
170,171,2011-06-20,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,0,60,60
171,172,2011-06-21,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,25,168,193
172,173,2011-06-22,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,10,180,190
173,174,2011-06-23,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,40,270,310
174,175,2011-06-24,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,35,285,320
175,176,2011-06-25,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,60,249,309
176,177,2011-06-26,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,25,207,232
177,178,2011-06-27,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,40,204,244
178,179,2011-06-28,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,25,192,217
179,180,2011-06-29,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,15,156,171
180,181,2011-06-30,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,20,78,98
181,182,2011-07-01,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,0,84,84
182,183,2011-07-02,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,10,105,115
183,184,2011-07-03,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,5,99,104
184,185,2011-07-04,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,0,66,66
185,186,2011-07-05,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,5,72,77
186,187,2011-07-06,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,0,36,36
187,188,2011-07-07,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,0,33,33
188,189,2011-07-08,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,0,12,12
189,190,2011-07-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0,3,3
190,191,2011-07-10,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0,3,3
191,192,2011-07-11,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,0,3,3
192,193,2011-07-12,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,5,15,20
193,194,2011-07-13,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,0,30,30
194,195,2011-07-14,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,0,57,57
195,196,2011-07-15,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,0,147,147
196,197,2011-07-16,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,10,141,151
197,198,2011-07-17,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,20,237,257
198,199,2011-07-18,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,30,207,237
199,200,2011-07-19,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,40,192,232
200,201,2011-07-20,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,25,231,256
201,202,2011-07-21,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,65,237,302
202,203,2011-07-22,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,15,177,192
203,204,2011-07-23,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,20,132,152
204,205,2011-07-24,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,5,120,125
205,206,2011-07-25,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,0,114,114
206,207,2011-07-26,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,5,57,62
207,208,2011-07-27,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,25,30,55
208,209,2011-07-28,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,0,18,18
209,210,2011-07-29,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,10,9,19
210,211,2011-07-30,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,5,0,5
211,212,2011-07-31,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,0,9,9
212,213,2011-08-01,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,0,3,3
213,214,2011-08-02,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,5,6,11
214,215,2011-08-03,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,0,9,9
215,216,2011-08-04,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,0,93,93
216,217,2011-08-05,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,10,225,235
217,218,2011-08-06,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,20,552,572
218,219,2011-08-07,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,10,276,286
219,220,2011-08-08,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,0,93,93
220,221,2011-08-09,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,10,84,94
221,222,2011-08-10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,25,141,166
222,223,2011-08-11,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,20,150,170
223,224,2011-08-12,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,0,141,141
224,225,2011-08-13,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,10,129,139
225,226,2011-08-14,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,20,210,230
226,227,2011-08-15,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,20,522,542
227,228,2011-08-16,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,5,462,467
228,229,2011-08-17,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,15,276,291
229,230,2011-08-18,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,5,219,224
230,231,2011-08-19,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,5,111,116
231,232,2011-08-20,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,10,66,76
232,233,2011-08-21,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,0,54,54
233,234,2011-08-22,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,10,30,40
234,235,2011-08-23,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,0,9,9
235,236,2011-08-24,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,0,9,9
236,237,2011-08-25,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,0,18,18
237,238,2011-08-26,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,0,81,81
238,239,2011-08-27,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,10,291,301
239,240,2011-08-28,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,15,642,657
240,241,2011-08-29,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,15,381,396
241,242,2011-08-30,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,15,153,168
242,243,2011-08-31,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,20,93,113
243,244,2011-09-01,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,10,165,175
